gameid,team,model_prob_1,model_prob_2,model_odds_1,model_odds_2,Actual_winning_team,Model_winning_team,team2,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
2012R1502,North Melbourne,0.5180102478821291,0.4819897521178709,1.9304637390639914,2.074732907921763,West Coast,North Melbourne,West Coast,2012-07-07,2012,R15,Bellerive Oval,13:45:00,0,1,103.0,1.0799999999999998,16,108.4,-5.4,-20.2,359.6,213.0,94.0,146.6,15.0,10.2,39.8,56.0,31.8,57.6,38.4,44.6,15.4,19.4,141.0,217.4,14.2,13.0,48.8,11.4,9.4
2012R1503,Melbourne,0.3624411470153013,0.6375588529846987,2.759068632893888,1.5684826511600487,Richmond,Richmond,Richmond,2012-07-07,2012,R15,M.C.G.,14:10:00,0,1,78.0,0.9199999999999999,8,93.4,-15.4,-23.4,350.4,204.8,89.0,145.6,11.0,9.8,41.2,67.2,33.6,54.8,34.0,43.8,15.6,16.6,148.4,201.6,16.4,10.2,55.2,8.6,5.8
2012R1504,Sydney,0.6348272085041978,0.3651727914958022,1.5752317900113877,2.7384296510806596,Sydney,Sydney,Brisbane Lions,2012-07-07,2012,R15,S.C.G.,16:40:00,1,1,102.6,13.0,16,69.0,33.6,91.2,391.2,209.6,77.4,181.6,15.2,9.6,40.0,70.6,42.2,52.8,40.6,48.4,17.6,19.6,148.4,235.4,8.4,11.2,59.6,14.2,11.0
2012R1505,Port Adelaide,0.3576845337169946,0.6423154662830053,2.7957596869179,1.5568673844752141,Adelaide,Adelaide,Adelaide,2012-07-07,2012,R15,Football Park,19:10:00,0,1,79.4,2.0799999999999996,8,83.4,-4.0,-2.8,332.0,192.6,72.0,139.4,11.2,7.6,47.0,73.8,35.4,48.8,42.8,47.4,18.8,14.8,143.0,185.8,9.8,6.4,47.8,8.6,6.0
2012R1506,St Kilda,0.3656247052230119,0.6343752947769881,2.735044940111617,1.5763539473137045,St Kilda,Essendon,Essendon,2012-07-07,2012,R15,Docklands,19:40:00,1,1,116.4,5.84,8,100.8,15.6,37.0,364.4,209.8,90.8,154.6,16.8,12.8,31.4,65.2,29.2,57.4,37.8,44.2,21.0,15.6,135.2,228.2,11.4,14.4,41.6,14.0,11.2
2012R1507,Hawthorn,0.9040863248578416,0.0959136751421585,1.1060890674983275,10.4260419436316,Hawthorn,Hawthorn,Greater Western Sydney,2012-07-08,2012,R15,M.C.G.,13:10:00,1,1,122.4,5.8,16,79.6,42.8,70.0,369.0,224.2,86.8,144.8,18.0,12.0,43.4,76.6,30.8,60.2,42.0,45.2,19.2,17.6,145.8,216.6,8.8,13.0,48.4,9.6,10.6
2012R1508,Gold Coast,0.1111632123259515,0.8888367876740484,8.99578177956761,1.1250659444652926,Geelong,Geelong,Geelong,2012-07-08,2012,R15,Carrara,15:15:00,0,1,58.2,1.8800000000000001,0,132.8,-74.6,-154.8,327.0,176.2,79.4,150.8,8.2,8.0,31.2,54.8,33.4,39.0,31.6,45.0,16.0,15.8,120.0,205.8,11.0,9.2,45.0,7.4,5.6
2012R1509,Fremantle,0.2950337327155923,0.7049662672844077,3.3894429318154735,1.4185075888128496,Fremantle,Western Bulldogs,Western Bulldogs,2012-07-08,2012,R15,Subiaco,14:40:00,1,1,72.6,1.6800000000000002,4,96.2,-23.6,-42.8,348.2,200.4,84.0,147.8,11.0,5.0,40.0,79.8,39.6,39.8,35.2,46.0,18.2,16.6,146.2,200.4,11.0,7.8,50.2,6.0,8.2
2012R1601,North Melbourne,0.6759553410046235,0.3240446589953765,1.4793876745078638,3.0859943907122633,North Melbourne,North Melbourne,Carlton,2012-07-13,2012,R16,Docklands,19:50:00,1,1,97.4,0.16,12,106.4,-9.0,-24.0,346.4,207.8,95.8,138.6,14.2,10.0,35.2,59.4,33.2,54.4,35.4,46.0,16.2,20.6,133.2,211.2,13.4,13.0,48.0,8.8,9.8
2012R1602,Melbourne,0.6070866397843162,0.3929133602156838,1.6472113442576777,2.5450903462561447,Fremantle,Melbourne,Fremantle,2012-07-14,2012,R16,Docklands,13:45:00,0,1,83.8,0.0,8,92.2,-8.4,-5.6,346.0,204.0,90.0,142.0,12.0,9.0,38.6,67.6,33.4,53.0,34.2,48.2,16.8,18.6,147.6,197.0,17.4,11.4,55.4,7.2,6.0
2012R1603,Port Adelaide,0.1673811902783163,0.8326188097216837,5.974386956725727,1.2010297969778827,Essendon,Essendon,Essendon,2012-07-14,2012,R16,Football Park,13:40:00,0,1,67.4,0.44000000000000006,4,92.6,-25.2,-36.6,315.4,186.4,72.0,129.0,9.4,7.0,40.4,72.6,35.6,43.6,41.4,48.4,19.4,15.2,137.4,173.6,10.2,5.8,46.8,6.4,5.2
2012R1604,Richmond,0.9157666478706424,0.0842333521293576,1.0919812403358635,11.871782075872924,Gold Coast,Richmond,Gold Coast,2012-07-14,2012,R16,Cazaly's Stadium,16:40:00,0,1,92.2,2.44,12,89.8,2.4,2.4,377.0,212.0,74.8,165.0,12.8,12.8,47.6,67.6,26.2,58.6,40.6,49.2,19.8,20.2,162.2,210.4,12.4,9.8,57.4,8.2,8.2
2012R1605,Geelong,0.5196280010964056,0.4803719989035944,1.9244536435488815,2.0817200050844127,Collingwood,Geelong,Collingwood,2012-07-14,2012,R16,M.C.G.,19:40:00,0,1,101.2,0.24,16,76.6,24.6,38.0,369.0,221.0,108.8,148.0,14.6,10.0,40.6,61.0,28.8,56.4,34.8,49.4,20.2,24.6,144.2,224.8,16.2,14.8,45.8,7.0,9.6
2012R1606,Brisbane Lions,0.4029280617817484,0.5970719382182517,2.481832602023296,1.6748400586102632,St Kilda,St Kilda,St Kilda,2012-07-14,2012,R16,Gabba,19:40:00,0,1,94.2,6.68,12,92.4,1.8,7.6,361.4,206.6,98.2,154.8,14.4,6.6,32.8,65.2,40.6,47.4,37.4,45.4,14.0,19.6,138.2,222.2,11.2,11.6,57.2,6.8,10.2
2012R1607,Greater Western Sydney,0.0996484705029777,0.9003515294970222,10.035276958617422,1.110677293521838,Adelaide,Adelaide,Adelaide,2012-07-15,2012,R16,Sydney Showground,13:10:00,0,1,52.2,0.0,0,134.4,-82.2,-206.0,323.6,186.8,69.4,136.8,7.8,4.2,38.6,68.8,41.4,33.2,33.8,50.0,23.4,20.8,140.0,180.8,10.6,6.4,50.2,4.8,5.0
2012R1608,Western Bulldogs,0.2123237581905648,0.7876762418094352,4.709788525420128,1.2695571440657123,Hawthorn,Hawthorn,Hawthorn,2012-07-15,2012,R16,Docklands,15:15:00,0,1,60.8,7.480000000000001,4,107.6,-46.8,-96.8,362.8,210.0,89.8,152.8,8.2,9.4,44.6,59.6,34.8,48.4,40.8,45.0,16.8,16.0,149.6,211.6,12.2,9.6,42.4,7.6,6.2
2012R1609,West Coast,0.412289858145868,0.587710141854132,2.4254780471611803,1.7015190461834795,Sydney,Sydney,Sydney,2012-07-15,2012,R16,Subiaco,14:40:00,0,1,102.6,5.999999999999999,12,76.0,26.6,65.0,374.0,212.2,91.4,161.8,14.8,11.0,56.4,62.8,27.4,54.2,41.6,41.0,20.0,17.0,146.4,225.4,13.8,13.0,48.8,11.4,9.6
2012R1701,Geelong,0.5069429998202362,0.4930570001797638,1.9726083610082468,2.0281630716842267,Geelong,Geelong,Essendon,2012-07-20,2012,R17,Docklands,19:50:00,1,1,91.8,0.32,12,86.4,5.4,8.8,363.2,214.8,98.0,148.4,12.8,11.0,38.4,60.8,31.0,57.8,34.2,50.4,18.2,22.8,145.2,215.8,14.2,14.4,49.4,5.0,9.2
2012R1702,Collingwood,0.3623284923788228,0.6376715076211772,2.7599264784136186,1.568205554189622,Hawthorn,Hawthorn,Hawthorn,2012-07-21,2012,R17,M.C.G.,13:45:00,0,1,98.6,1.1600000000000001,16,82.2,16.4,18.2,370.6,218.2,92.2,152.4,14.2,10.6,39.0,68.4,33.8,53.6,36.0,43.0,15.2,16.8,145.8,224.4,13.6,11.8,50.6,13.8,9.0
